name,description,prep_time,difficulty,url,done
Chicken & chorizo jambalaya,"A Cajun-inspired rice pot recipe with spicy Spanish sausage, sweet peppers and tomatoes",55 mins,Easy,https://www.bbcgoodfood.com/recipes/chicken-chorizo-jambalaya,false
Green burgers,"This vegetarian burger recipe can be frozen, letting you get ahead on busy days. It's craftily packed with spinach - one of the trickier veg to get into kids!...",50 mins,Easy,https://www.bbcgoodfood.com/recipes/green-burgers,false
Beer tiramisu,Beer lovers everywhere rejoice – this twist on the tiramisu combines beer alongside layers of sponge and cream. Enjoy this spin on a classic pud...,10 mins,Easy,https://www.bbcgoodfood.com/recipes/beer-tiramisu,false
Cajun pork fillet & beer sauce,A pork dish with a kick that won't have you stuck to the BBQ all afternoon.,1 hour,More effort,https://www.bbcgoodfood.com/recipes/cajun-pork-fillet-beer-sauce,false
Pork wellington,A twist on the classic beef wellington with a succulent fillet of pork and a rich mustard and cream sauce. Treat yourself to the ultimate posh sausage roll,1 hour and 45 mins,A challenge,https://www.bbcgoodfood.com/recipes/pork-wellington,false
Salmon with tahini sauce,"This colourful fish supper is ready in just half an hour, served on a bed of couscous with crunchy cucumber and pomegranate seeds",30 mins,Easy,https://www.bbcgoodfood.com/recipes/salmon-tahini-sauce,false
